stop_id,stop_code,stop_name,stop_lat,stop_long
536,CTA1376,Dube,,
537,CTA2415,Floriloire Vernusson,,
538,CTA1406,François Villon,,
539,CTA1415,Gallieni,,
540,CTA1427,George Sand,,
541,CTA1441,Guillebotte,,
542,CTA1451,Huit Mai,,
543,CTA1465,Jean Bouton,,
544,CTA69,La Chesnaie,,
545,CTA1502,Loire,,
546,CTA1507,Louet,,
548,CTA1581,Mairie des Ponts de Ce,,
549,CTA1510,Marie Curie,,
550,CTA2277,Mauperthuis,,
551,CTA2378,Moulin Marcille,,
552,CTA1709,Patureaux,,
553,CTA57,Pouillé,,
554,CTA2224,Renou,,
555,CTA2373,Rivet,,
556,CTA1600,Roncières,,
557,CTA1469,Rostand,,
559,CTA67,Ruelles,,
560,CTA1607,Sablons,,
561,CTA2225,Sorges,,
562,CTA1641,Trois Paroisses,,
564,CTA1255,Aubépine,,
567,CTA1291,Bosch,,
568,CTA1318,Centre Equestre,,
569,CTA1338,Chêne vert,,
570,CTA1347,Claverie,,
571,CTA1354,Cointreau,,
574,CTA1316,Croix de cheminée,,
575,CTA1361,Cézanne,,
576,CTA1452,Gemmetrie,,
578,CTA1462,Jaudette,,
579,CTA1473,Jules Ferry,,
580,CTA2440,La Reux,,
582,CTA1518,Maisons Rouges,,
583,CTA1544,Morlière,,
584,CTA1552,Paperie,,
585,CTA1557,Pasteur,,
586,CTA2417,Pellerinière,,
587,CTA1565,Pignonnière,,
588,CTA1598,Romanerie,,
589,CTA1609,Saillerie,,
591,CTA1613,St Barthélemy,,
592,CTA1625,Stade de St Barthélemy,,
593,CTA1653,Venaiserie,,
594,CTA1654,Verdun,,
595,CTA1662,Walcourt,,
596,CTA1665,ZI Est,,
597,CTA1196,Croix des Frux,,
598,CTA1703,Eglise De St Clement,,
599,CTA1195,Janvrie,,
600,CTA2475,La Rochette,,
601,CTA2474,Le Guerandais,,
602,CTA1314,Aubry,,
603,CTA1278,Bel Oeil,,
604,CTA1627,Clos Neuf,,
605,CTA1356,Cossé,,
606,CTA2433,Empiré,,
607,CTA1453,Hutreau,,
608,CTA1448,Hôpital de Ste Gemmes,,
609,CTA2238,La Venrie,,
610,CTA2288,Le Chêne,,
611,CTA2195,Le Fresne,,
612,CTA2314,Le Port,,
613,CTA1494,Les Roses,,
614,CTA1657,Loupinot,,
615,CTA1521,Mairie de Ste Gemmes,,
616,CTA1599,Roche Morna,,
617,CTA1605,Route d'Angers,,
618,CTA2481,Route De Bouchemaine,,
619,CTA2241,Croisee,,
620,CTA2360,Galilee,,
621,CTA1221,La Roche,,
622,CTA2242,Les Lilas,,
623,CTA2264,Mairie de St Jean,,
624,CTA1212,Bellangerie,,
625,CTA1198,Fessardière,,
626,CTA1710,La Coltrie,,
627,CTA1211,Langevine,,
628,CTA1210,Les Ecots,,
629,CTA1199,Paquerette,,
630,CTA2345,Pauger,,
631,CTA1213,Perraudière St Lambert,,
632,CTA2349,Renardiere,,
633,CTA1208,Fouquetterie,,
634,CTA1205,Hulleteries,,
635,CTA1206,La Coudre,,
636,CTA1204,Les Essarts,,
637,CTA1207,Patis,,
638,CTA2212,Petits Grandchamps,,
639,CTA2476,Robinières,,
640,CTA1215,Beau Soleil,,
641,CTA1218,Bourg de St Martin,,
642,CTA1220,D 723,,
643,CTA2341,Lombardieres,,
644,CTA1217,Oliveraie,,
645,CTA1219,Perraudière D 723,,
646,CTA2282,Perraudière ZA,,
647,CTA1216,Point du Jour,,
648,CTA135,Baronnerie,,
649,CTA1265,Bas Mortier,,
650,CTA134,Bergerie,,
652,CTA2428,Carreaux,,
653,CTA1322,Champs Blancs,,
655,CTA2138,Delibes,,
656,CTA1167,Fousseaux,,
657,CTA1405,Françaiserie,,
658,CTA1556,Gardonne,,
659,CTA1165,Haie Joulain,,
